ts,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772269827078,57310,22928,2032008,0,0,217,1093,0,206,17610
1772269827254,79320,45175,2195900,0,0,198,1014,0,185,16049
1772269828036,52154,37855,2170960,0,0,20,414,0,27,0
1772269828167,16846,11624,2196356,0,0,26,362,0,26,0
1772269828985,677,7,2174968,0,0,153,148,0,146,0
1772269829083,668,7,2160920,0,0,146,147,0,146,0
1772269829905,14,0,2196580,0,0,2,2,0,2,0
1772269829990,14,0,2159744,0,0,2,2,0,1,0
1772269830793,31,0,2166884,0,0,22,21,0,24,0
1772269830930,78,0,2157852,0,0,24,22,0,24,0
1772269831721,1518,464,2173884,0,0,109,2430,0,72,0
1772269831833,1782,497,2131920,0,0,108,2429,0,72,0
1772269832637,1577,723,2189296,0,0,84,302,0,107,5979
1772269832772,1266,690,2183076,0,0,110,335,0,108,9310
1772269833505,25824,367,2208460,0,0,5396,14442,0,7350,12837
1772269833619,32759,410,2168460,0,0,8201,18359,0,9119,9506
1772269834352,21719,946,2216296,0,0,5058,18469,0,2946,21
1772269834499,14789,903,2147880,0,0,2227,14520,0,1176,21
1772269835257,1302,137,2219256,0,0,21,21,0,21,0
1772269835465,1309,138,2196588,0,0,21,21,0,27,0
1772269836212,738,198,2219704,0,0,87,2104,0,77,0
1772269836392,749,197,2180900,0,0,86,2103,0,71,0
1772269837187,549,0,2221756,0,0,61,61,0,62,1360
1772269837322,526,0,2158792,0,0,63,85,0,102,1360
1772269838134,8717,1828,2230380,0,0,142,3064,0,121,1790
1772269838252,8717,1828,2159652,0,0,142,3060,0,82,1790
1772269839039,8985,4739,2208192,0,0,13,74,0,11,0
1772269839221,9076,4747,2232008,0,0,11,54,0,62,0
1772269839952,1274,16,2212152,0,0,82,606,0,78,0
1772269840089,1188,8,2196320,0,0,82,606,0,26,0
1772269840882,262,149,2232904,0,0,3,13,0,7,0
1772269840996,257,149,2180868,0,0,8,13,0,7,0
1772269841823,20,0,2228848,0,0,69,111,0,3,0
1772269841900,20,0,2225844,0,0,75,111,0,3,0
1772269842677,33,0,2232096,0,0,164,60,0,66,0
1772269842722,87,0,2222272,0,0,173,60,0,71,0
1772269843529,640,103,2223904,0,0,118,210,0,74,0
1772269843593,622,103,2165772,0,0,98,210,0,69,0
1772269844460,215,0,2224424,0,0,19,17,0,17,0
1772269844533,181,0,2188128,0,0,19,17,0,17,0
1772269845399,18,0,2224712,0,0,4,4,0,4,0
1772269845521,16,0,2188404,0,0,4,4,0,4,0
1772269846334,8,0,2214456,0,0,4,2,0,12,0
1772269846460,11,0,2186548,0,0,5,2,0,13,0
1772269847291,42,0,2212504,0,0,11,12,0,2,0
1772269847355,39,0,2166284,0,0,10,12,0,1,0
1772269848252,0,0,2213280,0,0,0,0,0,0,0
1772269848256,0,0,2202752,0,0,0,0,0,0,0
1772269849194,21,0,2202120,0,0,9,3,0,9,0
1772269849196,24,0,2191264,0,0,9,3,0,9,0
1772269850142,16,0,2176988,0,0,1,6,0,1,0
1772269850153,13,0,2158944,0,0,1,6,0,1,0
1772269851182,3,0,2209472,0,0,92,126,0,129,0
1772269851194,3,0,2209092,0,0,127,126,0,129,0
1772269852158,283,0,2215724,0,0,44,6,0,2,0
1772269852148,283,0,2194724,0,0,9,6,0,2,0
1772269853071,262,0,2166228,0,0,83,75,0,75,0
1772269853063,262,0,2176816,0,0,83,75,0,75,0
1772269854020,30,0,2210588,0,0,2,0,0,1,0
1772269854012,30,0,2193864,0,0,2,0,0,1,0
1772269854909,966,0,2213700,0,0,162,155,0,158,0
1772269854942,966,0,2186608,0,0,162,158,0,158,0
1772269855858,271,0,2216044,0,0,69,72,0,88,0
1772269855914,271,0,2203696,0,0,69,69,0,88,0
1772269856804,80,0,2211624,0,0,33,29,0,10,0
1772269856839,80,0,2179304,0,0,33,29,0,10,0
1772269857826,38,0,2212952,0,0,6,3,0,2,0
1772269857795,38,0,2213892,0,0,6,3,0,2,0
1772269858728,0,0,2211948,0,0,1,0,0,0,0
1772269858762,0,0,2194880,0,0,1,0,0,0,0
1772269859697,0,0,2199780,0,0,0,0,0,4,0
1772269859714,0,0,2181292,0,0,0,0,0,4,0
1772269860610,953,0,2187136,0,0,114,111,0,107,0
1772269860628,953,0,2180444,0,0,114,111,0,107,0
1772269861557,9638,177,2171136,0,0,2390,2376,0,2376,0
1772269861576,9638,177,2143964,0,0,2390,2376,0,2376,0
1772269862529,12,0,2140712,0,0,3,3,0,9,0
1772269862516,12,0,2143880,0,0,3,3,0,9,0
1772269863503,51,0,2175576,0,0,13,12,0,6,0
1772269863503,51,0,2188292,0,0,13,12,0,6,0
1772269864455,0,0,2175076,0,0,0,1,0,1,0
1772269864457,0,0,2158344,0,0,0,1,0,1,0
1772269865395,5,0,2200804,0,0,3,1,0,2,0
1772269865447,5,0,2160452,0,0,3,1,0,2,0
1772269866385,14,0,2216972,0,0,7,1,0,6,0
1772269866403,18,0,2175664,0,0,7,1,0,6,0
1772269867314,4,0,2215168,0,0,0,6,0,0,0
1772269867341,0,0,2164164,0,0,0,6,0,0,0
1772269868266,549,0,2113016,0,0,703,776,0,816,0
1772269868300,550,0,2084368,0,0,728,776,0,816,0
1772269869090,185,16,1956080,0,0,417,183,0,383,0
1772269869060,186,16,1957792,0,0,464,183,0,383,0
1772269869868,6553,2833,1817360,0,0,766,595,0,339,2302
1772269869893,6961,3155,1794572,0,0,744,595,0,341,2302
1772269870684,100980,24902,1815360,24419,13847,1998,7594,268,2324,25576
1772269870621,88633,24112,1805260,24419,13847,1975,7347,270,2328,25576
1772269871702,86348,30171,2026440,3254,2249,1423,10799,9,368,12095
1772269871697,99089,31283,2040332,3254,2249,1292,10484,7,362,11309
1772269872627,37707,19917,2018900,0,0,577,2364,0,162,11085
1772269872614,37693,19917,1975608,0,0,424,1808,0,158,10299
1772269873465,11040,5265,2025200,0,0,63,142,0,14,681
1772269873518,11041,5265,1990740,0,0,62,136,0,14,681
1772269874318,2590,774,2021276,0,0,234,233,0,234,0
1772269874381,2608,774,1984332,0,0,234,233,0,234,0
1772269875150,3913,1297,2005676,0,0,40,73,0,32,0
1772269875167,3915,1297,1956120,0,0,40,90,0,32,0
1772269875995,39,0,2006032,0,0,3,21,0,2,62
1772269876060,18,0,1970476,0,0,4,4,0,2,62
1772269876855,155,0,1992788,0,0,31,130,0,25,211
1772269876860,155,0,1992284,0,0,27,129,0,25,211
1772269877723,2233,774,2001672,0,0,12,5,0,2,8153
1772269877732,2233,774,1993672,0,0,9,26,0,4,8932
1772269878500,4,0,2046168,0,0,3,24,0,2,13161
1772269878540,4,0,2003604,0,0,3,2,0,0,12382
1772269879300,33,0,1989000,0,0,16,92,0,19,209
1772269879416,131,3,1946972,0,0,22,99,0,23,209
1772269880195,1011,189,1964348,0,0,12,33,0,21,0
1772269880269,913,186,1927120,0,0,22,49,0,17,0
1772269881062,6930,2941,1962292,0,0,37,473,0,1,213
1772269881171,7080,2941,1952064,0,0,24,450,0,2,213
1772269881929,668,137,1959280,0,0,8,6,0,4,0
1772269882027,518,137,1943352,0,0,5,7,0,11,0
1772269882779,2787,1026,1957480,0,0,21,37,0,12,0
1772269882904,2787,1026,1919384,0,0,22,64,0,4,0
1772269883641,13674,9240,1941000,708,636,263,521,8,157,11690
1772269883740,16782,9786,1902536,708,636,308,574,8,164,11690
1772269884463,72231,23638,1795288,15190,11609,778,1158,208,488,16957
1772269884569,94132,26996,1761608,15190,11609,759,1083,208,481,16957
1772269885386,102586,21861,1722168,7073,6658,465,4977,123,146,16902
1772269885455,78852,18505,1674988,7073,6658,460,5008,123,161,16902
1772269886166,43819,22127,1619208,0,0,517,4300,0,283,18015
1772269886256,53378,30979,1591932,0,0,505,5649,0,273,18015
1772269886874,23755,15147,1709248,0,0,1860,13239,0,1718,750
1772269886976,13086,5780,1684100,0,0,1855,12077,0,2929,750
1772269887721,2563,400,1715352,0,0,1336,2379,0,1314,249
1772269887825,2440,367,1688384,0,0,1331,2155,0,98,249
1772269888611,2152,1170,1662732,0,0,28,645,0,19,0
1772269888590,2194,1170,1660892,0,0,28,645,0,19,0
1772269889485,572,0,1676556,0,469,221,1611,6,197,5645
1772269889439,569,0,1705732,0,0,211,1611,6,206,5645
1772269890330,27459,13775,1696512,527,14,32,1198,0,13,1579
1772269890369,28513,14400,1671828,527,483,42,1198,0,4,1579
1772269891230,5904,1617,1718256,0,0,14,958,0,8,9933
1772269891274,4853,992,1690032,0,0,28,1958,0,10,15967
1772269892117,36914,25991,1729328,0,0,89,7275,0,16,21222
1772269892204,39223,26763,1749544,0,0,75,6278,0,14,15188
1772269893043,40054,30042,1812996,0,805,260,1563,19,248,13393
1772269893081,37745,29270,1790984,475,1479,281,1607,19,248,14510
1772269893911,53248,28665,1861724,1748,674,61,1683,0,25,7650
1772269893989,53248,28665,1841880,1273,0,41,2527,0,25,8189
1772269894672,1081,306,1896580,0,0,32,2978,0,15,17417
1772269894769,1081,306,1869732,0,0,31,2183,0,16,19425
1772269895437,1,0,1957008,0,0,9,1175,0,1,17957
1772269895583,1,0,1922228,0,0,9,1079,0,1,15962
1772269896232,294,160,1955652,0,0,4,480,0,1,9009
1772269896346,294,160,1951512,0,0,4,480,0,2,7340
1772269897096,34,0,1983112,0,0,7,7,0,8,0
1772269897205,37,0,1957036,0,0,8,7,0,6,0
1772269897943,4,0,1951480,0,0,1,1,0,1,0
1772269898101,1,0,1943436,0,0,0,1,0,1,0
1772269898866,4,0,1917076,0,0,1,1,0,0,0
1772269898842,4,0,1952856,0,0,1,1,0,0,0
1772269899691,60,0,1925596,0,0,16,16,0,16,0
1772269899703,60,0,1918456,0,0,16,16,0,16,0
1772269900517,2,0,1950804,0,0,0,1,0,0,0
1772269900572,2,0,1922124,0,0,0,1,0,0,0
1772269901399,0,0,1961736,0,0,0,0,0,0,0
1772269901433,0,0,1923948,0,0,0,0,0,0,0
1772269902261,536,250,1976048,0,0,1,11,0,0,0
1772269902278,536,250,1942404,0,0,1,11,0,0,0
1772269903085,0,0,1983264,0,0,0,0,0,0,0
1772269903158,0,0,1931160,0,0,0,0,0,0,0
1772269903959,0,0,1998780,0,0,0,1,0,1,0
1772269904009,0,0,1954116,0,0,1,1,0,1,0
1772269904737,3137,2782,2041488,0,0,3,204,0,0,0
1772269904881,3137,2782,1974868,0,0,3,251,0,0,0
1772269905570,10,2,2012592,0,0,4,124,0,1,0
1772269905770,10,2,2041460,0,0,3,77,0,1,0
1772269906489,0,0,2015860,0,0,0,0,0,0,0
1772269906597,0,0,2003444,0,0,0,0,0,0,0
1772269907443,0,0,2006888,0,0,0,0,0,0,0
1772269907383,0,0,2015068,0,0,0,0,0,0,0
1772269908271,24,0,1996508,0,0,174,1224,0,187,0
1772269908245,24,0,1987484,0,0,179,1224,0,187,0
1772269909092,4681,2149,2035076,0,0,385,3156,0,355,0
1772269909108,4978,2149,1975740,0,0,416,3158,0,355,0
1772269909899,760,0,2031980,0,0,49,55,0,11,0
1772269909944,463,0,1987060,0,0,13,53,0,11,0
1772269910764,23,0,1971540,0,0,8,88,0,7,0
1772269910747,23,0,1970948,0,0,8,88,0,7,0
1772269911624,689,575,2031284,0,0,17,47,0,16,0
1772269911624,689,575,1992136,0,0,17,47,0,16,0
1772269912422,0,0,2018080,0,0,0,0,0,0,0
1772269912519,0,0,1995608,0,0,0,0,0,0,0
1772269913251,845,169,2032620,0,0,134,924,0,120,0
1772269913356,946,188,2000712,0,0,134,924,0,121,0
1772269914151,103,19,2026380,0,0,3,363,0,2,0
1772269914153,2,0,2027592,0,0,3,363,0,1,0
1772269914970,2450,2062,2027268,0,0,3,40,0,1,0
1772269915001,2450,2062,2014908,0,0,3,40,0,1,0
1772269915798,87,0,2023068,0,0,24,24,0,23,0
1772269915798,87,0,2017448,0,0,24,24,0,23,0
1772269916628,86,0,2035868,0,0,25,480,0,26,0
1772269916659,86,0,2007156,0,0,30,480,0,26,0
1772269917478,13,0,2016944,0,0,21,175,0,20,0
1772269917574,22,0,1970732,0,0,23,178,0,21,0
1772269918322,114,0,2040584,0,0,16,55,0,10,0
1772269918425,107,0,2005036,0,0,9,52,0,9,0
1772269919189,2,0,2041176,0,0,0,1,0,0,0
1772269919312,0,0,2005772,0,0,0,1,0,0,0
1772269920058,35,0,2041740,0,0,13,13,0,17,0
1772269920200,47,0,2010444,0,0,17,17,0,18,0
1772269920928,25,0,2023344,0,0,5,5,0,1,0
1772269921102,13,0,2015516,0,0,1,1,0,1,0
1772269921836,7,0,2045832,0,0,1,1,0,1,0
1772269922021,7,0,2015328,0,0,1,1,0,0,0
1772269922649,9,0,2027036,0,0,2,3,0,1,0
1772269922924,9,0,2048508,0,0,2,3,0,1,0
1772269923540,0,0,2049516,0,0,14,204,0,13,0
1772269923747,128,111,2046024,0,0,14,204,0,13,0
1772269924428,128,111,2047284,0,0,0,0,0,0,0
1772269924601,0,0,2032656,0,0,0,0,0,0,0
1772269925317,0,0,2024664,0,0,1,1,0,1,0
1772269925487,8,0,2046672,0,0,1,1,0,1,0
1772269926203,8,0,2046728,0,0,0,0,0,0,0
1772269926303,0,0,1988308,0,0,1,85,0,0,0
1772269927032,63,0,2019676,0,0,1,85,0,0,0
1772269927130,63,0,1990116,0,0,0,0,0,0,0
1772269927919,0,0,2025260,0,0,0,137,0,0,0
1772269928036,0,0,2011236,0,0,1,137,0,0,0
1772269928842,320,101,1994164,0,0,1,148,0,1,0
1772269928859,320,101,1983920,0,0,0,147,0,1,0
1772269929665,12010,181,2037044,0,0,3470,6762,0,3944,289
1772269929730,12830,186,2000108,0,0,4005,7178,0,4303,289
1772269930382,4773,151,2051340,0,0,1717,3620,0,1213,0
1772269930469,3965,146,2019544,0,0,1182,3205,0,857,0
1772269931262,882,115,2070548,0,0,44,574,0,6,0
1772269931301,870,115,2071688,0,0,44,574,0,3,0
1772269932166,413,126,2071428,0,0,30,598,0,25,0
1772269932186,462,126,2039204,0,0,30,598,0,25,0
1772269933021,66,0,2054492,0,0,3,3,0,3,0
1772269933042,17,0,2027912,0,0,3,3,0,3,0
1772269933854,9,0,2020428,0,0,40,1763,0,2085,1960
1772269933889,688,192,1998088,0,0,56,2246,0,3587,3272
1772269934713,74932,33608,2144852,2586,2121,4706,9211,35,2362,23678
1772269934745,83479,34848,2236596,2586,2121,4716,8758,35,949,22366
1772269935550,46398,10847,2114880,734,490,977,12635,38,933,4717
1772269935624,37366,9480,2063208,2726,2256,1083,12916,38,866,4717
1772269936458,50486,18567,2123224,1992,1766,431,6977,0,190,10845
1772269936492,50297,18502,2090272,0,0,304,7008,0,176,14855
1772269937202,50208,21397,2193844,0,0,304,2583,0,224,14694
1772269937283,50203,21397,2154492,0,0,299,2241,0,218,10684
1772269938046,381,219,2149664,0,0,114,920,0,84,0
1772269938035,381,219,2128524,0,0,114,921,0,86,0
1772269938809,13715,8420,2027220,0,0,50,3323,7,19,19234
1772269938885,21783,16245,2028396,0,554,51,3322,7,19,19234
1772269939719,52229,31768,2134476,2636,2366,88,692,27,102,7333
1772269939755,44180,23943,2081944,2636,1812,101,712,27,102,7333
1772269940601,33664,14157,2089164,677,414,130,6874,8,11,3310
1772269940628,34082,14365,2057056,677,414,120,6856,8,10,3310
1772269941441,24086,12031,2111448,0,0,1321,11038,0,1160,3144
1772269941454,23649,11823,2109112,0,0,1329,11052,0,1161,3144
1772269942266,53851,33553,2169148,4750,3513,308,12559,57,9,28203
1772269942289,51688,32367,2173124,4750,3513,296,12543,57,9,27527
1772269943119,49514,37469,2206284,0,0,9,653,0,2,2281
1772269943124,47730,36640,2158560,0,0,9,653,0,2,1605
1772269943993,622,508,2209572,0,0,14,1630,0,1,0
1772269944020,243,151,2208240,0,0,16,1630,0,1,0
1772269944823,10,0,2234212,0,0,1,77,0,0,0
1772269944803,10,0,2234464,0,0,3,80,0,0,0
1772269945569,21208,1057,2230344,0,0,5916,24147,0,6676,15502
1772269945615,21865,1078,2207164,0,0,6863,29209,0,8070,18780
1772269946244,37103,1915,2206912,0,0,11151,27397,0,10857,16177
1772269946315,39249,1958,2176112,0,0,10681,22838,0,10374,17639
1772269947005,45833,25855,2212920,0,0,5001,11407,0,4308,11473
